InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,rejection_reasons
536412,22077,6 RIBBONS RUSTIC CHARM,2,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,21738,COSY SLIPPER SHOES SMALL  RED ,2,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536412,85049E,SCANDINAVIAN REDS RIBBONS,1,12/1/2010 11:49,1.25,17920,United Kingdom,Duplicate transaction record
536412,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,3,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,22077,6 RIBBONS RUSTIC CHARM,7,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,21448,12 DAISY PEGS IN WOOD BOX,1,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,22759,SET OF 3 NOTEBOOKS IN PARCEL,5,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,85049E,SCANDINAVIAN REDS RIBBONS,12,12/1/2010 11:49,1.25,17920,United Kingdom,Duplicate transaction record
536412,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,1,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,21738,COSY SLIPPER SHOES SMALL  RED ,5,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536412,22273,FELTCRAFT DOLL MOLLY,1,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,12/1/2010 11:49,3.75,17920,United Kingdom,Duplicate transaction record
536412,22273,FELTCRAFT DOLL MOLLY,2,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,12/1/2010 11:49,2.1,17920,United Kingdom,Duplicate transaction record
536412,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,12/1/2010 11:49,2.1,17920,United Kingdom,Duplicate transaction record
536412,21448,12 DAISY PEGS IN WOOD BOX,1,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,12/1/2010 11:49,3.75,17920,United Kingdom,Duplicate transaction record
536412,21448,12 DAISY PEGS IN WOOD BOX,2,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,21448,12 DAISY PEGS IN WOOD BOX,2,12/1/2010 11:49,1.65,17920,United Kingdom,Duplicate transaction record
536412,22902,TOTE BAG I LOVE LONDON,7,12/1/2010 11:49,2.1,17920,United Kingdom,Duplicate transaction record
536412,21708,FOLDING UMBRELLA CREAM POLKADOT,1,12/1/2010 11:49,4.95,17920,United Kingdom,Duplicate transaction record
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,12/1/2010 11:49,4.95,17920,United Kingdom,Duplicate transaction record
536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,12/1/2010 11:49,2.95,17920,United Kingdom,Duplicate transaction record
536414,22139,,56,12/1/2010 11:52,0,,United Kingdom,Missing CustomerID; Missing Description; UnitPrice is zero or negative
536446,22294,HEART FILIGREE DOVE  SMALL,24,12/1/2010 12:15,1.25,15983,United Kingdom,Duplicate transaction record
536446,21156,RETROSPOT CHILDRENS APRON,3,12/1/2010 12:15,1.95,15983,United Kingdom,Duplicate transaction record
536446,21651,HANGING GLASS ETCHED TEALIGHT,6,12/1/2010 12:15,1.65,15983,United Kingdom,Duplicate transaction record
536446,85172,HYACINTH BULB T-LIGHT CANDLES,16,12/1/2010 12:15,0.42,15983,United Kingdom,Duplicate transaction record
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/2010 12:23,2.1,17968,United Kingdom,Duplicate transaction record
536464,22866,HAND WARMER SCOTTY DOG DESIGN,3,12/1/2010 12:23,2.1,17968,United Kingdom,Duplicate transaction record
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,12/1/2010 12:23,0.85,17968,United Kingdom,Duplicate transaction record
536464,21212,PACK OF 72 RETROSPOT CAKE CASES,2,12/1/2010 12:23,0.55,17968,United Kingdom,Duplicate transaction record
536464,21815,STAR  T-LIGHT HOLDER ,1,12/1/2010 12:23,1.45,17968,United Kingdom,Duplicate transaction record
536464,21992,VINTAGE PAISLEY STATIONERY SET,1,12/1/2010 12:23,2.95,17968,United Kingdom,Duplicate transaction record
536464,85231G,ORANGE SCENTED SET/9 T-LIGHTS,1,12/1/2010 12:23,0.85,17968,United Kingdom,Duplicate transaction record
536464,85231B,CINAMMON SET OF 9 T-LIGHTS,2,12/1/2010 12:23,0.85,17968,United Kingdom,Duplicate transaction record
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/2010 12:23,2.1,17968,United Kingdom,Duplicate transaction record
536464,21814,HEART T-LIGHT HOLDER ,8,12/1/2010 12:23,1.45,17968,United Kingdom,Duplicate transaction record
536464,22197,SMALL POPCORN HOLDER,6,12/1/2010 12:23,0.85,17968,United Kingdom,Duplicate transaction record
536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,12/1/2010 12:31,2.55,17897,United Kingdom,Duplicate transaction record
536488,70007,HI TEC ALPINE HAND WARMER,1,12/1/2010 12:31,1.65,17897,United Kingdom,Duplicate transaction record
536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3,12/1/2010 12:31,2.55,17897,United Kingdom,Duplicate transaction record
536488,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,12/1/2010 12:31,2.1,17897,United Kingdom,Duplicate transaction record
C536506,22960,JAM MAKING SET WITH JARS,-6,12/1/2010 12:38,4.25,17897,United Kingdom,Quantity is zero or negative
536520,22583,PACK OF 6 HANDBAG GIFT BOXES,1,12/1/2010 12:43,2.55,14729,United Kingdom,Duplicate transaction record
536520,22469,HEART OF WICKER SMALL,2,12/1/2010 12:43,1.65,14729,United Kingdom,Duplicate transaction record
536522,22151,PLACE SETTING WHITE HEART,1,12/1/2010 12:49,0.42,15012,United Kingdom,Duplicate transaction record
536522,84836,ZINC METAL HEART DECORATION,1,12/1/2010 12:49,1.25,15012,United Kingdom,Duplicate transaction record
536522,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,12/1/2010 12:49,3.75,15012,United Kingdom,Duplicate transaction record
536522,21810,CHRISTMAS HANGING STAR WITH BELL,1,12/1/2010 12:49,1.25,15012,United Kingdom,Duplicate transaction record
536522,21121,SET/10 RED POLKADOT PARTY CANDLES,1,12/1/2010 12:49,1.25,15012,United Kingdom,Duplicate transaction record
536522,21664,RIDGED GLASS STORAGE JAR CREAM LID,1,12/1/2010 12:49,3.75,15012,United Kingdom,Duplicate transaction record
536522,22632,HAND WARMER RED RETROSPOT,1,12/1/2010 12:49,2.1,15012,United Kingdom,Duplicate transaction record
536522,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,12/1/2010 12:49,1.25,15012,United Kingdom,Duplicate transaction record
536528,22865,HAND WARMER OWL DESIGN,1,12/1/2010 13:17,2.1,15525,United Kingdom,Duplicate transaction record
536528,22865,HAND WARMER OWL DESIGN,2,12/1/2010 13:17,2.1,15525,United Kingdom,Duplicate transaction record
536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,1,12/1/2010 13:17,1.65,15525,United Kingdom,Duplicate transaction record
536528,22938,CUPCAKE LACE PAPER SET 6,1,12/1/2010 13:17,1.95,15525,United Kingdom,Duplicate transaction record
536528,22584,PACK OF 6 PANNETONE GIFT BOXES,2,12/1/2010 13:17,2.55,15525,United Kingdom,Duplicate transaction record
536528,22585,PACK OF 6 BIRDY GIFT TAGS,5,12/1/2010 13:17,1.25,15525,United Kingdom,Duplicate transaction record
536528,22911,PAPER CHAIN KIT LONDON,1,12/1/2010 13:17,2.95,15525,United Kingdom,Duplicate transaction record
536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,12/1/2010 13:17,2.95,15525,United Kingdom,Duplicate transaction record
536528,22744,MAKE YOUR OWN MONSOON CARD KIT,2,12/1/2010 13:17,2.95,15525,United Kingdom,Duplicate transaction record
536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,12/1/2010 13:17,1.95,15525,United Kingdom,Duplicate transaction record
536528,22454,MEASURING TAPE BABUSHKA RED,2,12/1/2010 13:17,2.95,15525,United Kingdom,Duplicate transaction record
536528,84985A,SET OF 72 GREEN PAPER DOILIES,1,12/1/2010 13:17,1.45,15525,United Kingdom,Duplicate transaction record
536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,12/1/2010 13:17,14.95,15525,United Kingdom,Duplicate transaction record
536530,22097,SWALLOW SQUARE TISSUE BOX,1,12/1/2010 13:21,1.25,17905,United Kingdom,Duplicate transaction record
536531,21498,RED RETROSPOT WRAP ,25,12/1/2010 13:23,0.42,15485,United Kingdom,Duplicate transaction record
C536543,22632,HAND WARMER RED RETROSPOT,-1,12/1/2010 14:30,2.1,17841,United Kingdom,Quantity is zero or negative
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,12/1/2010 14:30,0.85,17841,United Kingdom,Quantity is zero or negative
536544,21773,DECORATIVE ROSE BATHROOM BOTTLE,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21774,DECORATIVE CATS BATHROOM BOTTLE,2,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21786,POLKADOT RAIN HAT ,4,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,21787,RAIN PONCHO RETROSPOT,2,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,21790,VINTAGE SNAP CARDS,9,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21801,CHRISTMAS TREE DECORATION WITH BELL,10,12/1/2010 14:32,0.43,,United Kingdom,Missing CustomerID
536544,21802,CHRISTMAS TREE HEART DECORATION,9,12/1/2010 14:32,0.43,,United Kingdom,Missing CustomerID
536544,21803,CHRISTMAS TREE STAR DECORATION,11,12/1/2010 14:32,0.43,,United Kingdom,Missing CustomerID
536544,21809,CHRISTMAS HANGING TREE WITH BELL,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21810,CHRISTMAS HANGING STAR WITH BELL,3,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21811,CHRISTMAS HANGING HEART WITH BELL,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21821,GLITTER STAR GARLAND WITH BELLS ,1,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,21822,GLITTER CHRISTMAS TREE WITH BELLS,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,21823,PAINTED METAL HEART WITH HOLLY BELL,2,12/1/2010 14:32,2.98,,United Kingdom,Missing CustomerID
536544,21844,RED RETROSPOT MUG,2,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,21851,LILAC DIAMANTE PEN IN GIFT BOX,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,21870,I CAN ONLY PLEASE ONE PERSON MUG,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,21871,SAVE THE PLANET MUG,5,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,21874,GIN AND TONIC MUG,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,21879,HEARTS GIFT TAPE,1,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,21884,CAKES AND BOWS GIFT  TAPE,1,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,21888,BINGO SET,1,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,21889,WOODEN BOX OF DOMINOES,2,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21892,TRADITIONAL WOODEN CATCH CUP GAME ,3,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21894,POTTING SHED SEED ENVELOPES,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21911,GARDEN METAL SIGN ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,21912,VINTAGE SNAKES & LADDERS,3,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,21914,BLUE HARMONICA IN BOX ,3,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21915,RED  HARMONICA IN BOX ,2,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21922,UNION STRIPE WITH FRINGE  HAMMOCK,2,12/1/2010 14:32,16.98,,United Kingdom,Missing CustomerID
536544,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,21935,SUKI  SHOULDER BAG,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,21942,SKULLS DESIGN FLANNEL,2,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,21944,KITTENS DESIGN FLANNEL,1,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,21949,SET OF 6 STRAWBERRY CHOPSTICKS,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21975,PACK OF 60 DINOSAUR CAKE CASES,1,12/1/2010 14:32,1.28,,United Kingdom,Missing CustomerID
536544,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,12/1/2010 14:32,1.28,,United Kingdom,Missing CustomerID
536544,21982,PACK OF 12 SUKI TISSUES ,1,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,21990,MODERN FLORAL STATIONERY SET,2,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21991,BOHEMIAN COLLAGE STATIONERY SET,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21992,VINTAGE PAISLEY STATIONERY SET,6,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,21993,FLORAL FOLK STATIONERY SET,4,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22037,ROBOT BIRTHDAY CARD,1,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22043,CHRISTMAS CARD SCREEN PRINT ,1,12/1/2010 14:32,0.43,,United Kingdom,Missing CustomerID
536544,22064,PINK DOUGHNUT TRINKET POT ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22065,CHRISTMAS PUDDING TRINKET POT ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22067,CHOC TRUFFLE GOLD TRINKET POT ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22068,BLACK PIRATE TREASURE CHEST,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22069,BROWN  PIRATE TREASURE CHEST ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22071,SMALL WHITE RETROSPOT MUG IN BOX ,1,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22076,6 RIBBONS EMPIRE  ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22077,6 RIBBONS RUSTIC CHARM,3,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22080,RIBBON REEL POLKADOTS ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22081,RIBBON REEL FLORA + FAUNA ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22082,RIBBON REEL STRIPES DESIGN ,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22083,PAPER CHAIN KIT RETROSPOT,4,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,33,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22087,PAPER BUNTING WHITE LACE,2,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22090,PAPER BUNTING RETROSPOT,1,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22095,LADS ONLY TISSUE BOX,2,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22100,SKULLS SQUARE TISSUE BOX,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22107,PIZZA PLATE IN BOX,1,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,22110,BIRD HOUSE HOT WATER BOTTLE,2,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,22111,SCOTTIE DOG HOT WATER BOTTLE,2,12/1/2010 14:32,11.02,,United Kingdom,Missing CustomerID
536544,22112,CHOCOLATE HOT WATER BOTTLE,2,12/1/2010 14:32,11.02,,United Kingdom,Missing CustomerID
536544,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22115,METAL SIGN EMPIRE TEA,2,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22130,PARTY CONE CHRISTMAS DECORATION ,2,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22134,LADLE LOVE HEART RED ,1,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22135,LADLE LOVE HEART PINK,5,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22141,CHRISTMAS CRAFT TREE TOP ANGEL,4,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22144,CHRISTMAS CRAFT LITTLE FRIENDS,4,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22149,FELTCRAFT 6 FLOWER FRIENDS,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22153,ANGEL DECORATION STARS ON DRESS,1,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22154,ANGEL DECORATION 3 BUTTONS ,1,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22155,STAR DECORATION RUSTIC,3,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22156,HEART DECORATION WITH PEARLS ,3,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22161,HEART DECORATION RUSTIC HANGING ,10,12/1/2010 14:32,0.81,,United Kingdom,Missing CustomerID
536544,22162,HEART GARLAND RUSTIC PADDED,2,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,12/1/2010 14:32,16.98,,United Kingdom,Missing CustomerID
536544,22174,PHOTO CUBE,2,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22178,VICTORIAN GLASS HANGING T-LIGHT,13,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22182,CAKE STAND VICTORIAN FILIGREE SMALL,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22185,SLATE TILE NATURAL HANGING,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22189,CREAM HEART CARD HOLDER,1,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22190,LOCAL CAFE MUG,3,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22195,LARGE HEART MEASURING SPOONS,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22196,SMALL HEART MEASURING SPOONS,2,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22197,SMALL POPCORN HOLDER,2,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22198,LARGE POPCORN HOLDER ,4,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22203,MILK PAN RED RETROSPOT,1,12/1/2010 14:32,7.62,,United Kingdom,Missing CustomerID
536544,22207,FRYING PAN UNION FLAG,1,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22219,LOVEBIRD HANGING DECORATION WHITE ,3,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22224,WHITE LOVEBIRD LANTERN,1,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22265,EASTER DECORATION NATURAL CHICK,2,12/1/2010 14:32,1.28,,United Kingdom,Missing CustomerID
536544,22276,WASH BAG VINTAGE ROSE PAISLEY,1,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22294,HEART FILIGREE DOVE  SMALL,4,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22296,HEART IVORY TRELLIS LARGE,1,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22297,HEART IVORY TRELLIS SMALL,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22299,PIG KEYRING WITH LIGHT & SOUND ,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22300,COFFEE MUG DOG + BALL DESIGN,1,12/1/2010 14:32,5.06,,United Kingdom,Missing CustomerID
536544,22301,COFFEE MUG CAT + BIRD DESIGN,2,12/1/2010 14:32,5.06,,United Kingdom,Missing CustomerID
536544,22309,TEA COSY RED  STRIPE,1,12/1/2010 14:32,5.06,,United Kingdom,Missing CustomerID
536544,22310,IVORY KNITTED MUG COSY ,9,12/1/2010 14:32,3.36,,United Kingdom,Missing CustomerID
536544,22314,OFFICE MUG WARMER CHOC+BLUE,1,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22318,FIVE HEART HANGING DECORATION,1,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22335,HEART DECORATION PAINTED ZINC ,4,12/1/2010 14:32,1.28,,United Kingdom,Missing CustomerID
536544,22336,DOVE DECORATION PAINTED ZINC ,4,12/1/2010 14:32,1.28,,United Kingdom,Missing CustomerID
536544,22345,PARTY PIZZA DISH BLUE POLKADOT,1,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22348,TEA BAG PLATE RED RETROSPOT,3,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22355,CHARLOTTE BAG SUKI DESIGN,3,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22356,CHARLOTTE BAG PINK POLKADOT,9,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22357,KINGS CHOICE BISCUIT TIN,1,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22359,GLASS JAR KINGS CHOICE,2,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22360,GLASS JAR ENGLISH CONFECTIONERY,2,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,12/1/2010 14:32,5.91,,United Kingdom,Missing CustomerID
536544,22367,CHILDRENS APRON SPACEBOY DESIGN,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22371,AIRLINE BAG VINTAGE TOKYO 78,1,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22375,AIRLINE BAG VINTAGE JET SET BROWN,2,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,12/1/2010 14:32,8.47,,United Kingdom,Missing CustomerID
536544,22378,WALL TIDY RETROSPOT ,2,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22379,RECYCLING BAG RETROSPOT ,2,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22380,TOY TIDY SPACEBOY  ,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22383,LUNCH BAG SUKI  DESIGN ,1,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22384,LUNCH BAG PINK POLKADOT,2,12/1/2010 14:32,4.21,,United Kingdom,Missing CustomerID
536544,22394,PAPERWEIGHT KINGS CHOICE ,1,12/1/2010 14:32,5.06,,United Kingdom,Missing CustomerID
536544,22396,MAGNETS PACK OF 4 RETRO PHOTO,1,12/1/2010 14:32,2.51,,United Kingdom,Missing CustomerID
536544,22418,10 COLOUR SPACEBOY PEN,1,12/1/2010 14:32,1.66,,United Kingdom,Missing CustomerID
536544,22419,LIPSTICK PEN RED,4,12/1/2010 14:32,0.85,,United Kingdom,Missing CustomerID
536544,22422,TOOTHPASTE TUBE PEN,2,12/1/2010 14:32,1.28,,United Kingdom,Missing CustomerID
